username,email,password,firstname,lastname,image_url,date_joined
pholmes,sue02@gmail.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Kimberly,Simpson,https://randomuser.me/api/portraits/women/54.jpg,2019-05-22 05:10:52.072794
stevenscrystal,rgraham@yahoo.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Christina,Fry,https://randomuser.me/api/portraits/men/10.jpg,2020-10-27 18:29:25.322723
williamserika,millerjessica@yahoo.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Nicole,Cole,https://randomuser.me/api/portraits/men/71.jpg,2020-09-15 19:22:22.149874
amandamcmillan,monroetravis@morales.info,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Andrew,Ward,https://randomuser.me/api/portraits/women/4.jpg,2020-09-29 22:26:30.052564
collinsjames,jerry19@moore.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Jacqueline,Brown,https://randomuser.me/api/portraits/men/62.jpg,2020-10-03 09:17:46.735157
cherylberry,jonesshaun@ray.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Aaron,Johnson,https://randomuser.me/api/portraits/women/32.jpg,2020-07-25 00:20:49.304107
ssanchez,rossnicholas@long.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Lauren,Woodard,https://randomuser.me/api/portraits/women/42.jpg,2020-08-31 12:09:30.240095
christopher38,mitchellchristopher@hall.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Katrina,Davis,https://randomuser.me/api/portraits/men/88.jpg,2020-09-12 15:07:00.017603
victoriaburke,michael97@zuniga.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Roy,Walker,https://randomuser.me/api/portraits/men/20.jpg,2020-02-07 09:26:57.386544
hardymichael,todd88@parker-cooper.com,$2b$12$Q1PUFjhN/AWRQ21LbGYvjeLpZZB6lfZ1BPwifHALGO6oIbyC3CmJe,Wayne,Price,https://randomuser.me/api/portraits/women/50.jpg,2020-10-24 06:48:29.377715
